,img_pos,texts
160,801,"['A giraffe standing in front of green brush.', 'A giraffe stands with its head above the grass.', 'A tall giraffe is standing against the gray sky.', 'A giraffe that is walking alone outside in a field.', 'A single giraffe is standing among some greenery.']"
161,806,"['A traffic light hanging over a street next to tall buildings.', 'A street light in a city setting next to high rise buildings.', 'a sun setting over a large city and buildings', 'A view of buildings and a street light as the sun sets. ', 'The sun shines on the side of many tall buildings.']"
162,811,"['It is night time and the town is quiet. ', 'A nightlife scene at the park in the dark', 'A long exposure image of a street during the night. ', 'A street is displayed at night with time lapse photography.', 'There is a street at night with cars passing by.']"
163,816,"['a couple of giraffes that are standing in a fence', 'two giraffe stand behind a fence in a zoo enclosure', 'Two giraffes roaming around an enclosed area on a sunny day.', 'Two giraffes in a grassy area with a fence and trees next to them.', 'The two giraffes are walking in their pen.']"
164,821,"['A giraffe sticking its head in a feeding basket with trees in background.', 'Giraffe reaching into basked with trees in background', 'A very tall adult giraffe eating from a basket.', 'A giraffe is eating out of a basket.', 'a giraffe eating from a man made feeder']"
165,826,"['A picture of two giraffes, fairly close to a road, with a bus traveling up it.', 'People driving and observing giarffs in a natural environment.', 'Giraffes are wandering around on a field with a camper in the background.', 'Two giraffes roaming with a van of people looking on.', 'Two giraffes in the savannah with buses in the background.']"
166,831,"['A set of park benches near a lamp post', 'A park with benches, a lamppost, and trees.', 'Park scene, park bench, light pole and building in back ground, probably city park area.', 'Two benches are separated by a pole front of a brick wall.', 'A fire hydrant with a bench and building in a background.']"
167,836,"['A herd of sheep are grazing in a green field.', 'Sheep are on a grassy field and one of them is a white and black baby.', 'The small herd of sheep are grazing on the grassy field. ', 'a group of sheep on a big grassy field full of sheep', 'Curious sheep on a large, well used pasture.']"
168,841,"['A man sitting on a bench right on a bay of water.', 'A person sitting down a bench in front of the ocean. ', 'Man sitting on bench on rocky shore watching ship in distance.', 'Man sitting on a bench overlooking the ocean.', 'A man sitting on top of a bench near the ocean.']"
169,846,"['A giraffe standing outside of a building next to a tree.', 'A giraffe standing in a small piece of shade.', 'A giraffe finds some sparse shade in his habitat', 'Giraffe standing in a holding pen near a tree stump. ', 'A giraffe in a zoo enclosure next to a barn.']"
170,851,"['Two Mallards float and drink water in a shallow pool.', 'Two ducks are swimming in some brown water.', 'Two ducks swimming on a very dirty pond.', 'Two ducks swimming in a body of water.', 'Two ducks in a pond in a camp grounds.']"
171,856,"['Two giraffe standing next to each other near  brick building.', 'The two giraffes look over the fence at the same time.', 'Three giraffes looking over a large wooden fence.', 'Two giraffes are standing behind a wood fence', 'A pair of giraffe standing and a third giraffe peeping. ']"
172,861,"['a giraffe checking out the bark on a tree', 'A giraffe in an enclosure reaching for food.', 'A giraffe and zebra inside of a zoo enclosure', ""A giraffe with it's mouth set on a pole."", 'A giraffe and a zebra eating together in a park.']"
173,866,"['A street sign above an orange detour sign.', 'A wooden post with a detour sign posted on it', 'A street corner has a stoplight and detour sign.', 'This shows two street signs that say ninth street and detour', 'A bright orange sign showing the way to a detour.']"
174,871,"['A giraffe bending over while standing on green grass.', 'A baby giraffe bending over to graze on the grass.', 'A single young giraffe eats from a grassy field.', 'The giraffe is leaning down to eat the grass.', 'A giraffe bends down to graze on some grass. ']"
175,876,"['Two giraffes stand and eat food out of a basket.', 'two giraffes looking for food in an empty feeding basket', 'a couple of giraffes reach for a basket ', 'Two giraffes that are eating from a basket.', 'Two giraffes eating from a basket on a pole.']"
176,881,"['THERE ARE ANIMALS THAT ARE GRASSING IN THE FIELD ', 'A group of sheep in a fenced in area. ', 'very many woolly sheep in a field which is dry', 'A big herd of animals grazing in a big field.', 'Several animals walking and grazing on a farm. ']"
177,886,"['some black and white sheep a fence dirt and grass', 'Sheep that have been sheared standing in a pen.', 'Several grey sheep on a dry grassy field.', 'a goat in a fied hangs out with other goats', 'The animals look very skinny and unhealthy as they walk around.']"
178,891,"['A few llamas in a fence with fog over them.', 'some animals are standing out in the water', 'A herd of animals grazing on top of a dry grass field.', 'Cows standing in a fenced field on a misty day.', 'A field of sheep with trees in background and a ground fog.']"
179,896,"['A load of trash or work supplies in a dumpster outside.', 'A utility truck on a street next to a building.', 'An overhead view show the contents of a trash dumpster.', 'A cow stands in the back of a large truck.', 'A cow sits in a truck with hay barrels in it .']"
180,901,"['a photo of a train heading down the tracks ', 'A train is going to travel up hill on a street. ', 'Cars are driving through a tunnel on a highway.', 'A train traveling down tracks next to a highway.', 'A car that is sitting in the street.']"
181,906,"['red and yellow train on a train track', 'Red train on its tracks in a green field.', 'An old red train engine pulling cars behind it', 'A red train is coming down the tracks', 'a red train engine going down a track next to some trees ']"
182,911,"['A stop sign and street sign encased in snow and ice.', 'A couple of street signs sticking out the side of a ski slope.', 'A stop sign and street sign encased in a wall of snow.', 'A stop sign is buried in a large pile of snow.', 'A large pile of snow with a stop sign and a street sign poking out.']"
183,916,"['A red and yellow train pulling into a train station.', 'A red commuter train with doors open at the station', 'there is a red train pulling into the station', 'A train is stopped at a train station platform.', 'Red/yellow train with people standing nearby waiting to board.']"
184,921,"['A stop sign that has some graffiti on it.', 'Punk graffiti is spray painted on a stop sign.', 'A stop sign that has some tagging on it.', 'A stop sign is shown on the side of a corner.', 'A stop sigm at an intersection with some graffitti on it.']"
185,926,"['A cat is jumping off of a stack of suitcases.', 'a yellow cat on top of stacked suit cases about to jump off', 'a cat standing on red colored travel luggage ', 'A cat is playing on top of two suitcases. ', 'Orange cat walking across two red suitcases stacked on floor.']"
186,931,"['a black and gray spotted cat is sitting on a windows sill', 'A cat on the window looking outside next to the balcony', 'Tiger kitten sitting by French window looking out over sunny balcony. ', 'A kitten sitting in a window sill near a wooden deck.', 'A kitten in bathing in the sun while looking out at the deck. ']"
187,936,"['A red fire truck with a bunch of Christmas decorations on back of it.', 'Fire truck full of Christmas decorations in a night time holiday parade.', 'A fire truck decorated in a Christmas display featuring santa and children on top.', 'there is a fire truck with christmas decorations on the top', 'A fire engine truck on the road with kids and teddy bears']"
188,941,"['A black and white picture of a group of people.', 'A black and white photograph of people at a party.', 'a big group of people posing for a picture', ""A group photo from the 1960's of teenagers in suits and dresses."", 'A group of people are gathered for a photo.']"
189,946,"['A brown and white dog wearing a neck tie.', 'A brown and white dog wearing a tie on carpet.', 'A dog wearing a tie poses for the camera. ', 'A dog is sitting with a neck tie on.', 'a close up of a dog wearing a tie']"
190,951,"['The bow of a ship on land with another on the edge of the water.', 'The bottom of a rustic boat overlooks a brightly painted one.', 'The wooden bow of a ship with an out of focus boat in the back ground. ', 'Two boats on shore near an ocean. ', 'A close up of a front of a boat with another in the background.']"
191,956,"['Several beached boats on the sand with orange balls hanging over the sides.', 'A large number of boats that have been beached.', 'The ships are all docked on the beach by the water.', 'A group of boats on top of wet sand. ', 'A group of boats in the sandy area of a beach.']"
192,961,"['A man sitting next to a woman while wearing a suit.', 'Two people are posing for a photograph together', 'A black and white photo of a couple.', 'A black and white photo of a man and woman', 'A man and a woman are posing for a photograph. ']"
193,966,"['A group of four women walking down a street in the rain.', 'several people hold umbrellas in a rain storm', 'Two couples are walking down a wet sidewalk under umbrellas.', 'Several people huddle under a couple of matching umbrellas.', 'Two couples walking down the side walk in the rain, holding umbrellas.']"
194,971,"['A cute cat laying down in a sink.', 'A cat laying inside of a sink under a fixture.', 'A grey and white cat lays in a sink.', 'a cat sitting in the sink in the bathroom', 'A striped cat is laying on the sink and looking at the camera. ']"
195,976,"['A cat sitting on a bathroom counter behind a hair dryer.', 'A cat getting his fur blow dried after getting a bath.', 'The cat is seen twice because of a mirror.', 'A cat snooping in a bag on a bathroom counter.', 'A cat laying in front of a bathroom mirror.']"
196,981,"['A man using his laptop computer while a cat sits on his lap.', 'A man sitting in a chair with a cat and a laptop.', ""A cat sitting on the man's lap while the man types on the laptop. "", 'An Apple user and his faithful cat surf the web.', 'a man using his laptop while his cat looks at the screen']"
197,986,"['There is a person petting a very large elephant', 'A person touching an elephant in front of a wall.', 'A man in white shirt petting the cheek of an elephant.', 'A tall elephant standing next to a man next to other elephants.', ""A zoo keeper tending to an elephant's mouth""]"
198,991,"['Two dogs are playing on the beach catching a Frisbee. ', 'Of two dogs, only one may be the victor.', 'A dog catching a frisbee by another dog on a beach.', 'Dog jumping up in the air to catch a Frisbee in the summer time.', 'A dog jumping up into the air to catch a frisbee.']"
199,996,"['two dogs sharing a frisby in their mouth in the snow', 'two dogs on the snow playing frisbee together', 'A couple of dogs fighting over a frisbee.', 'Two dogs fighting over a Frisbee in the snow.', 'there are two dogs trying to get the frisbee']"
200,1001,"['A couple of pieces of very nice looking luggage.', 'Two different brands but similar looking devices sitting by each other.', 'Two pieces of luggage stand next to each other. ', 'Two pieces of hard luggage are seen here.', 'two black bags placed standing on the ground']"
201,1006,"['Darth Vader holding a plastic light saber in an airport while a kid stands in the background with a real lightsaber.', 'A picture shows Darth Vader waiting at a luggage carousel.', 'Darth Vader stands waiting for his luggage in a terminal.', 'Darth Vadar waving his lightsaber while standing at the baggage claim. ', 'A person dressed in a Darth Vader outfit who had their light saber stolen.']"
202,1011,"['A very cute brown dog with a disc in its mouth.', 'A dog running in the grass with a frisbee in his mouth. ', 'A dog carrying a Frisbee in its mouth running on a grass lawn. ', 'A dog in a grassy field carrying a frisbee.', ""A brown dog walking across a green field with a frisbee in it's mouth.""]"
203,1016,"['some zebra chillin in the wild with a bird flying over', 'A heard of zebra on the plains at a watering hole.', 'A group of zebras and birds are gathered around water.', 'There is a herd of zebras standing around.', 'There are several zebras grazing near the water as a bird flies over them.']"
204,1021,"['A little girl holding a red frisbee standing on a lush green field.', 'A little girl in the grass wearing sunglasses holding a frisbee.', 'A young girl is holding a Frisbee in the grass', 'Young girl in sunglasses standing in a lawn, holding a frisbee ', 'A girl in blue shit and shorts holding a frisbee in grassy area.']"
205,1026,"['Three zebras and other wild animals out in a semi-green field.', 'Three zebras and two other animals grazing. ', 'Wildlife standing near water area in natural setting.', 'Three zebras near the shore line of a body of water.', 'A group of animals stand next to a watering hole.']"
206,1031,"[""There's a field of brown grass with zebras in it"", 'A group of zebras relax and play together in a large field', 'A herd of zebras stand on a pathway near brown grass.', 'A herd of zebras standing together in the field', 'A group of zebras are on some grass with trees and bushes behind them.']"
207,1036,"['A zebras rump is up close for a photo.', 'A zebra standing on the ground with little scattered grass.', 'a zebra is standing on dirt and grass ', 'A zebra is standing outside on the grass by itself.', 'A zebra walking away from the camera in a dirt and grassy area.']"
208,1041,"['A large brown horse walking through a lush green forest.', 'A horse walking by a tree in the woods.', 'a horse running through the woods fast outside', 'a horse out in the middle of the forest ', 'A horse wearing a bridle is walking through the woods.']"
209,1046,"['A group of people walking next to stairs.', 'A statue of a man on a horse with two people walking by.', 'A couple people walking by a statue of a man on a horse', 'A man and young girl walk past a monument of a man riding a horse. ', 'The man and the little girl are walking past the statue.']"
210,1051,"['A close-up of a waffle shaped cone with a banana in it.', 'The golden waffle has a banana in it.', 'A banana sticking out of what looks like a waffle.', 'A peeled banana wrapped up in a waffle. ', 'holding a waffle cone with a banana inside']"
211,1056,"['A guy in a jet ski goes fast in a curve. ', 'A person in the ocean using something to shoot water into the air.', 'A person is riding on a jet ski in a body of water.', 'A man riding a jet sky in the ocean spewing out water.', 'A person on jet skis riding in the water']"
212,1061,"[""A woman that is standing on ski's in the snow."", 'a lady snow skiing on flat ground ', 'Two people on skis in snowy area surrounded by trees.', 'A woman riding skis up the side of a ski slope.', 'A person using skis and poles in the snow.']"
213,1066,"['A close up of dozens of of oranges stacked.', 'There are a lot oranges in this pile.', 'A host of oranges sitting on a fruit stand.', 'A bunch of ripe oranges are stacked neatly on top of each other.', 'A pile of oranges stacked on top of each other']"
214,1071,"['A pile of oranges sitting inside of a basket.', 'There are different citrus fruits in the bowl. ', 'A close up view of oranges and a couple of lemons.', 'a close up of a bowl of fruits ', 'A close up of citrus fruit in a basket.']"
215,1076,"['Woman cross country skiing alone on a trail in the woods.', 'The cross country skier on the snow covered road all alone.', 'Woman on cross country skis traveling on path in forest.', 'A woman that is on skis in the snow.', 'a person is skiing down a snowy slope']"
216,1081,"['Two baseball players work out on the field.', 'Interesting antics by two men during a baseball game ', 'A man in a baseball uniform stands spread eagle near a man with a red had who has a baseball glove on one hand.', 'Two boys playing baseball behind a fence on a baseball field.', 'two baseball players on in uniform on a baseball field ']"
217,1086,"['Two cross country skiers heading onto the trail', 'Two guys cross country ski in a race', 'Skiers on their skis ride on the slope while others watch.', 'To skiers competing on a ski trail in a competition.', 'Spectators watch cross country ski competitors fly by ']"
218,1091,"['There is two men riding on a skateboard on the street.', 'Two men who are skateboarding down a street.', 'Two friends are skateboarding down the street to their next destination.', 'A man riding a skateboard next to another young man also on a skateboard.', 'A man on a skateboard, riding on a sidewalk area while another man on a skateboard rides beside him.']"
219,1096,"['A woman riding skis down a snow covered slope.', 'A snow skier on a cross country trail.', 'A lone woman skies down the slope in her red snow jacket.', 'A person on skis standing in the snow.', ""A woman who is standing on ski's in the snow.""]"
220,1101,"['a person riding skis on a snowy slope', 'Woman enjoying down hill skiing at a well-groomed resort', 'a woman skier coming to a stop after her run down the gnarly hill', 'A man riding skis down a snow covered slope.', 'A person is skiing while looking at the camera.']"
221,1106,"['Small children with protective gear playing in a park. ', 'Small children stand near bicycles at a skate park.', 'Boys wearing helmets carry a bicycle up a ramp at a skate park.', 'small children playing with bikes on sloped concrete park', 'A group of young children riding bikes and skateboards with each other.']"
222,1111,"['A small plastic dish with food in it ', 'A bento box with rice and vegetables is shown with chopsticks.', 'A green bowl features snacks and fresh fruit.', 'A small green dish with multiple fruits and vegetables.', 'A container that has some vegetables in it.']"
223,1116,"['a table set for three with food and wine', 'The table has many plates, bowls, and wine glasses on it.', 'a dining room table with a bottle of wine and wine glasses and a pot of carrots', 'A dining table in a room with some food.', 'Wine glasses and plates and bowls on a table.']"
224,1121,"['a group of young people getting ready to go ski', 'A group of people have backpacks as they stand on snow skis in the snow.', 'A group of skiers are gathered together as they get ready to ski.', 'Several people in their ski gear are in the snow. ', 'four skiers ready to ski down a snowy mountain\n']"
225,1126,"['A man is eating hot dogs in his mouth', 'A man is eating two hot dogs without the bun.', 'A man eating a hot dog out of its bun.', 'A man eats a hot dog in front of a wall.', 'a man sticking two hot dogs into his mouth as he holds the bun in his other hand ']"
226,1131,"['A man flying through the air while riding a skateboard.', 'A skateboarder preforming tricks on a half pipe. ', 'a man performs a trick on a skate board ', 'A boy on a skateboard slides down a skating ramp.', 'A young man hovers above his skateboard, mid air, as he makes the turn on the ramp.']"
227,1136,"['A donut covered in chocolate sitting next to a cup of coffee.', 'A cup of coffee and a doughnut are on a table.', 'The large donut is next to a cup of coffee.', 'A chocolate doughnut with sprinkles in a basket next to a cup of coffee on a saucer.', 'A cup of coffee with cream and a doughnut covered with chocolate and berries']"
228,1141,"['A knife with red crumbs on it next to a cup on top of a wooden table.', 'A black object beside a gray and white bowl on a wood surface.', 'the table has a bowl as well as knife on it ', 'Raw red meat on a large knife blade on a wooden cutting board', 'A knife covered in guts next to a bowl.']"
229,1146,"['A plate with a small square piece of cake with white frosting.', 'A bowl with a piece of cake in it next to a spoon.', 'A white pastry sitting in a beige ball next to a spoon.', ""Just a small dessert shouldn't be too fattening, should it?"", 'A spoon next to a dessert inside of a bowl.']"
230,1151,"['A large cake shaped like a cup covered in coco powder sitting on a white cutting board.', 'A cake that has been made to look like a cup', 'A white plate with a cake on top of it and one slice cut out.', 'A cake sits on a plate with a knife behind it.', 'A slice has been cut from the large cake.']"
231,1156,"['A man that is laying down underneath a cat.', 'The man is sleeping in a bed near two cats. ', 'A bearded man sleeping with a cat on top of his head. ', 'a man is sleeping next to a couple of cats', ' A man sleeping in a bed with two cats.']"
232,1161,"['A bedroom has many posters on the wall.', 'A bedroom has gold paint and posters on the wall.', 'A bed is in a room with posters.', 'A bed sitting up against a window under a wall covered in posters.', 'a bedroom with some posters a blue and white bed and some pillows']"
233,1166,"['A group of people gathered to celebrate a birthday.', 'The cake is decorated for the family celebration.', 'people gather around and sit at a table around a birthday cake', 'a kid is sitting ion front of a cake ', 'A woman sitting in front of a cake on a table.']"
234,1171,"['A woman standing next to a table holding a sheet cake.', 'A woman holding a rectangular shaped iced cake.', 'A young woman holding a large decorated cake.', 'A smiling woman holding a birthday cake for a picture.', 'A woman proudly presents a delicious cake with special frosting designs.']"
235,1176,"['A couple of women holding up a cake together.', 'A couple of women holding a cake in their hands.', 'Two women in wigs are holding a birthday cake.', 'Two smiling women holding a big cake together.', 'two women hold a cake with a picture on it ']"
236,1181,"['a few drag queens make some cake and eat it', 'two people wearing wigs holding a cake that has their picture on it', 'Cake with a picture of two girls holding it in the picture', 'Two women wearing wigs holding a cake with their picture on it', 'a couple of people are holding up a cake']"
237,1186,"['A surfer surfing on the surfboard with an oar in the ocean. ', 'A man surfing a small wave with a paddle', 'A man with an oar on a surfboard in the water.', 'A surfer with a paddle catches a wave.', 'A person wake boarding on a small wave.']"
238,1191,"['A group of people that are at the beach.', 'LOTS OF MEN, WOMEN, AND CHILDREN ON THE BEACH WITH SURF BOARDS', 'Parents and their children surfing at the beach.', 'Group of adults and children at beach playing with various types of surfboards', 'A beach full of people with surf and bogey boards.']"
239,1196,"['This messy pizza is covered in cheese and mushrooms', 'A small pizza being served on a white plate.', 'A large pizza with cheese and mushrooms on a serving tray.', 'A pizza with sauce, mushrooms,and cheese on a plate.', 'A thin crust pizza with cheese and mushrooms.']"
240,1201,"['a tennis player holding a tennis racket on a court', 'two people playing a match of tennis on a court.', 'A man with a tennis racket walks from the net of a tennis court. ', 'A man standing on a tennis court holding a racquet.', 'A man in shorts and a long sleeve shirt playing tennis.']"
241,1206,"['A blurry image of pizza with a fork, knife and drink', 'A margarita pizza in a restaurant with a soda on the side. ', 'a small pizza that is on a brown table', 'a delicious lookign pizza has been cut and quarteered', 'A pizza is sitting on a table, along with a drink and silverware.']"
242,1211,"['Two pieces of pizza are served on a plate.', 'Someone is holding a black plate with two slices of pizza. ', 'A plate with two slices of pizza on it.', 'Two slices of pizza on a black plate', 'Two slices of chicken pizza on a plate.']"
243,1216,"['A group of people sitting at a table holding different pizzas.', 'A family is having a pizza dinner at a restaurant', 'A group of people sitting around a table with pizza on it.', 'Several people that are eating some food together.', 'a group of people sitting at a table with different pans of pizza ']"
244,1221,"['A shirtless man playing tennis on a blue court.', 'an image of a shirtless man hitting tennis racket', 'A man is standing on a court with a tennis racket.', 'A man on a court swinging a tennis racket.', 'This man is playing tennis without a shirt.']"
245,1226,"['A living room with hard wood floors filled with furniture.', 'A couch and chair on a hardwood floor.', 'A dog curls up on a couch to go to sleep. ', 'A living room with lamps, a couch and a chair.', 'A living room area has a wooden floor a gray couch and chair and several tables and lamps.']"
246,1231,"['Two smiling young people playing a game of Wii.', 'A man and woman playing a video game together.', 'A man and woman in a living room play against each other on a Wii.', 'Two people are playing video games in a living room.', 'Two people play a game on a Wii.']"
247,1236,"['A young child holding a Nintendo Wii game controller.', 'A girl is standing next to a chair holding a Wii controller.', 'A very young child holding a remote in its hand.', 'Little boy using a Wii remote control in the living room.', 'A child stands near a chair and holds a Wii remote.']"
248,1241,"['The two monitors are sitting among the laptops.', 'Several computer monitors and keyboards sitting on the same desk. ', 'A desk with two laptops, two computers, headphones and a cell phone. ', 'Two laptops and two desktops make up this computer station. ', 'A table full of laptops and two monitors are powered on.']"
249,1246,"['A very nice living room that is very clean.', 'A big, open room with large windows and wooden floors.', 'A living room with a wooden floor filled with furniture.', 'THERE IS A LIVING ROOM WITH A TABLE AND TV ', 'A living room with a couple of furniture. ']"
250,1251,"['A kite is flying in the air at a park.', 'A grassy field with a kite in the sky in the background.', 'Person in a green park fling a kite.', 'BOY IN THE PARK, INCLUDING A KITE AND A DOG', 'a kite flying in the air over a field of green grass']"
251,1256,"['A guy up to bat in a action in a baseball game.', 'A pitcher and batter in a baseball game.', 'A pitcher throwing a baseball at a player at bat.', 'A young man holding a baseball while wearing a uniform.', 'A pitcher throws a pitch to an awaiting batter. ']"
252,1261,"['A baseball player swinging his bat at a baseball.', 'Batter taking a swing at the ball during baseball game', 'A baseball player hit the ball with his bat.', 'A baseball player strikes a ball with his baseball bat.', 'The baseball player is hoping for a hit.']"
253,1266,"['there is a green clock in the street', 'A green clock sitting in front of a tall building.', 'A large green clock with figures on top.', 'a photo of a green street clock with gold numbers ', 'A green clock with a running scene on the bottom. ']"
254,1271,"['an image of a woman sitting down on a couch with laptop', 'a person sitting on a couch with a lap top on their lap.', 'a close up of person sitting with a laptop', 'Closeup of a person whose legs show a lot of veins.', 'A lady sitting on a couch with a laptop.']"
255,1276,"['An alcoholic beverage besides a laptop within a restaurant ', 'a laptop on a wooden table near a drink', 'A laptop sitting on a picnic table with a glass of beer.', 'A laptop is on a table with a frosty beverage nearby.', 'A beverage in a glass on a table next to a laptop.']"
256,1281,"['A hand holding a smartphone with a small screen.', 'A man holding his Sprint cell phone with the words Upstage across the screen.', 'A person holding a cell phone in their hand.', 'A Caucasian hand holding a black cell phone.', 'An all black sprint cell phone with a camera. ']"
257,1286,"['a woman in a blue top with headphones and two cellphones', 'A woman in blue sweater holding two cellphones while wearing headphones.', 'A person holding a phone in each hand and wearing a head set in front  of a Christmas tree.', 'A woman wearing headphones looking at some electronics.', 'A woman has headphones on and is holding two cell phones.']"
258,1291,"['A lady holding a pan with a big turkey in an open oven.', 'A woman is taking the cooked turkey out of the oven', 'Woman pulling large roaster with roast chicken in it', 'A woman is taking a turkey out of the oven.', 'Woman removing a roast turkey and stuffing from a home oven,']"
259,1296,"['A little girl holding a blow dryer next to her head.', 'A little kid gets help using a hair dryer.', 'Small child in blue shirt holds up blowdryer in hand. ', 'An adult helps a young child hold a hair dryer.', 'A little girl is blow drying her hair. ']"
260,1301,"['A lovely dinner and a bottle of wine', 'A table with a bottle of wine and a plate of food including a sweet potato and pineapple salad.', 'A very fancy looking dish of food on a dining table.', 'A sandwich with various toppings next to a sweet potato.', 'a couple of big slabs of meat with foot on top of them']"
261,1306,"['a couple of young kids are sitting together', 'A vintage closeup shows a chair with a toddler with a big smile and a big toy bear seated right  next to a second toddler with a semi-smile, holding what appears to be a coin purse.', 'A picture of two young kids posing or a picture.', 'A couple of children sitting in front of a blanket.', 'two children one holding a bear and one holding a cell phone']"
262,1311,"['A woman with beautiful breast sitting at a table.', 'a person sitting at a table with food and a drink', 'Young women gazing pensively left while sitting in a restaurant.', 'A woman sits beside a brick wall at a small table in a restaurant.', 'A woman is resting her head on her hands']"
263,1316,"['A kitchen counter with dishes dryin g on the stove', 'A partial view of a kitchen with a oven.', 'a towel with a big chunk of cheese on it above an oven', 'A kitchen with wood counter tops and some food items.', 'A kitchen with drawers and an oven, and items on the counter.']"
264,1321,"['A laptop that is sitting on a table.', 'A laptop is set up on a dining room table.', 'a dining room table with a laptop and scattered papers sitting on it', 'A laptop is set up at the dining room table.', 'A laptop and glass of water are on the table.']"
265,1326,"['A kitchen with white appliances and a window.', 'A shot of a small black and white kitchen', 'A picture of a small clean kitchen. ', 'A basic shot of a kitchen fully usable. ', 'A kitchen that has a checkered pattern floor.']"
266,1331,"['A standing toilet hole filled with nasty filthy.', 'there is a very dirty rusted outline of a toilet', 'A empty pipe hole where a toilet used to be.', 'a old bathroom with a toilet missing in it', 'A rusted area in the floor where a toilet used to sit.']"
267,1336,"['A bathroom being remodeled with a white toilet.', 'An old bathroom with a toilet and unpainted walls.', 'A nasty view of a clean white toilet in the image. ', 'A toilet sits in an unfinished water closet.', 'SMALL BATHROOM UNDER REMODEL,WITH JUST A TOILET AND ONE ROLL OF TOILET PAPER']"
268,1341,"['A bathroom with a sink, toilet, tub and mirror.', 'a bathroom with a toilet sitting next to a bath tub ', 'A bathroom with a green bathmat over the edge of the tub', 'a bath room with a toilet a bath tub and a sink', 'This bathroom has a wood floor and wood on the wall.']"
269,1346,"['The bathroom is equipped with several new appliances.', 'The bathroom is clean and ready to use.', 'A bathroom has a tub, and a washing machine in front of a large window.', 'a bath room with a bath tub a washing machine and a sink', 'The bathroom is a washing machine in it']"
270,1351,"['A door open to a bathroom with the vanity showing.', 'There is a bright window in the small bathroom.', 'A litter box sits on the floor of this small bathroom. ', 'A door opens into a narrow room with towels and sink.', 'A narrow bathroom is tidy and comes equipped with a litterbox.']"
271,1356,"['A black cat is huddled in the bathroom sink for a perfect fit.', 'A large black cat sits inside of an empty bathtub.', 'a black cat sitting in a sink in a bathroom', 'The black cat is alert, lying in front of the bathroom sink.', 'a black cat sitting in a bathroom sink']"
272,1361,"['A couple of dogs sitting in the front seats of a car.', 'There is a dog in a car licking at the window', 'A dog with his tongue out sits ion a car', 'an image of a dog sitting in the passenger seat of a car', 'Two dogs sitting on a car seat wanting to get out']"
273,1366,"['A picture of rush hour traffic on the streets.', 'A look through a window at a very busy city street.', 'A picture taken from inside a taxi of a crowded Asian street', 'a person drives as a bunch of other cars drive on a street ', 'A street with traffic on it as seen out of a vehicle.']"
274,1371,"['A bathroom with tile flooring and walls, and a white toilet.', 'A clean toilet in a small tiled bathroom', 'A white toilet sitting in a bathroom next to a mirror.', 'A white toilet with an external hygiene nozzle. ', 'A toilet with a spray hose attached to it sits in a white bathroom.']"
275,1376,"['A white ceramic sink next to a toilet.', 'there is a brown box on the toilet', 'A sink is next to a toilet with a card box on top of it.', 'a bathroom with a sink and toilet inside of it ', 'A pedestal sink and a toilet in a bathroom.']"
276,1381,"['A cat with its paws halfway into an open toilet.', 'A cat that is half in a toilet.', 'An orange tabby  kitten explores the toilet in a bathroom. ', 'A cat hangs into the inside of a toilet bowl', 'A cat sitting on top of a toilet seat. ']"
277,1386,"['A black and white cat is laying on a green pillow on top of a desk.', 'A cat laying on a pillow on a desk.', 'a close up of a cat laying on a pillow', 'A black and white cat is lying on a green pillow.', 'Black and white cat laying on a green pillow.']"
278,1391,"['Many oranges have been placed inside a bowl.', 'A bowl full of oranges that still have stems', 'Eight oranges sitting in a white bowl. ', 'a while bowl full of oranges with the stems on them ', 'Seven oranges stacked together in a white bowl. ']"
279,1396,"['A blue airplane flies in a clear blue sky.', 'The airplane has two propeller on each wing.', 'An airplane in the air with four propellers. ', 'A jumbo sized airplane with four engines in the middle of flight.', 'A propeller plane that is flying in the sky.']"
280,1401,"['A large jetliner flying under a cloud filled sky.', 'A plane flies above the tree tops in a greenish sky.', 'The plane is taking off over the trees.', 'A large commercial plane flying overhead in the sky.', 'Jumbo jet flying over a group of trees.']"
281,1406,"['Grey plane taking off above some green vegetation.', 'View of jet airliner taking off over tree top.', 'A passenger jet is flying over some trees.', 'Aerial view of an airplane ascending in to the sky.', 'An airplane flying in the sky over some trees.']"
282,1411,"['Two birds going up the back of a giraffe. ', 'Two birds sitting on the the back of a giraffe. ', 'Two birds are sitting on a wall near the bushes.\n', 'a large giraffe that is walking by some trees', 'Two birds standing on the back of a giraffe.']"
283,1416,"['A distant airplane flying between two large buildings.', 'A couple of tall buildings with a large jetliner between them.', 'Commercial airliner flying between two tall structures on clear day.', 'two tall buildings and a plane in between them', 'An airplane is seen between two identical skyscrapers.']"
284,1421,"['A low flying commercial plane passing tall  buildings', 'An airplane is flying in the sky beyond some skyscrapers.', 'A jetliner flying low as viewed between two skyscrapers.', 'An airplane is seen in the air between two buildings. ', 'An airplane flying pass building and a bank building. ']"
285,1426,"['A picture of a giraffe drinking some water.', 'A giraffe is bending down to get a drink of water.', 'A giraffe has its front legs spread to bend down for a drink of water at a pond.  ', 'LARGE GIRAFFE SPREADING OUT HIS LONG LEGS TO GET A DRINK', 'a giraffe bending down to drink from a body of water']"
286,1431,"['A couple of traffic lights hanging over a city street.', 'Traffic lights shine over an empty intersection at twilight. ', 'A street with traffic lights, wall and buildings.', 'The electronic traffic signals are lit up during dawn.', 'Empty city intersection in the early morning hours.']"
